Model,Anchor Date,Use Case,Filtered FPs,Accuracy,AUC,Precision,Recall,Capture Rate (Recall @K =10%),Baseline Conversion Rate,Precision at K
xgboost,2026-01-15,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.9135194811168867,0.639161873619714,0.0862445414847161,0.1594885598923284,0.2207267833109017,0.0341782050692304,0.0754543363239015
xgboost,2025-12-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.8643226618202153,0.7230498228604106,0.1094640820980615,0.3362521891418564,0.297723292469352,0.0399133230812246,0.1188811188811188
xgboost,2026-01-15,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.8847463084778509,0.6402066714239231,0.0792551921699689,0.2234185733512786,0.2328398384925975,0.0341782050692304,0.0795951230733839
logistic,2026-01-15,beauty,All,0.7528740594547921,0.754339341508207,0.0225230799693092,0.6123822341857336,0.3647375504710632,0.0091649192056247,0.0334279018132478
logistic,2025-12-01,beauty,All,0.7565736398517693,0.7479219457737091,0.0218831828140864,0.6176470588235294,0.3793363499245852,0.0086970780179057,0.0329922602649875
logistic,2025-12-01,shops,All,0.8541168302116049,0.8051337057133945,0.0019320081738807,0.6265060240963856,0.5180722891566265,0.0004502232130749,0.0023325196636832
logistic,2025-12-01,shops,All,0.8396283217522904,0.7940754824802003,0.0017239048134126,0.6144578313253012,0.4819277108433735,0.0004502232130749,0.0021697857336588
logistic,2025-12-01,shops,All,0.8396283217522904,0.7940754824802003,0.0017239048134126,0.6144578313253012,0.4819277108433735,0.0004502232130749,0.0021697857336588
logistic,2026-01-01,shops,All,0.8244617248129817,0.82833350997168,0.0016020818212395,0.6557971014492754,0.5434782608695652,0.0004291585227617,0.0023324159164062
logistic,2026-01-01,beauty,All,0.7160702786183629,0.7372667578631878,0.0149510716375046,0.6353107344632768,0.3468926553672316,0.006724681289999,0.0233278243194468
logistic,2026-01-01,beauty,All,0.7160702786183629,0.7372667578631878,0.0149510716375046,0.6353107344632768,0.3468926553672316,0.006724681289999,0.0233278243194468
logistic,2026-01-01,beauty,All,0.738719400225422,0.7575757966444208,0.0167207987489474,0.6387867647058824,0.3841911764705882,0.0068893025847548,0.0264690982776089
logistic,2026-02-01,beauty,All,0.7447380639877742,0.7523949903276774,0.0210775993693764,0.6232675346493071,0.3586728265434691,0.0087049988849119,0.0312225797016671
logistic,2026-02-28,beauty,All,0.8530065860337501,0.910229197980685,0.003635306092773,0.819672131147541,0.7185792349726776,0.0006537804048079,0.0046979386231288
logistic,2026-02-28,beauty,All,0.8530065860337501,0.910229197980685,0.003635306092773,0.819672131147541,0.7185792349726776,0.0006537804048079,0.0046979386231288
logistic,2026-02-01,beauty,All,0.7425371542778452,0.7571035607725943,0.020577193805725,0.6322999279019467,0.3821196827685652,0.0084514937878169,0.0322954116141612
logistic,2026-02-28,beauty,All,0.7534622674033307,0.8880668456953104,0.0022923672126405,0.8661202185792349,0.6420765027322405,0.0006537804048079,0.0041977778571683
logistic,2026-02-15,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.5913522679101314,0.6282150049381764,0.0424304141208418,0.6377551020408163,0.1581632653061224,0.0276953511374876,0.0438472418670438
